Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
urban,residential,5032,17755,2,traditional,high,Non-Furnished,standard,4780,1753,1309,499,159,300,106,110336153
urban,residential,6937,10369,5,contemporary,high,Furnished,basic,6590,1791,1119,468,60,262,117,97647057
urban,commercial,4438,5545,8,contemporary,low,Furnished,standard,4216,1730,1017,401,131,294,133,51686791
suburban,residential,3706,4367,3,modern,high,Furnished,luxury,3519,1699,1274,576,179,287,186,38360753
urban,commercial,2601,12917,16,traditional,medium,Furnished,basic,2464,1504,1172,464,162,242,190,59579208
urban,commercial,3812,18050,10,modern,low,Non-Furnished,basic,3620,1517,1127,413,108,234,117,84636143
urban,residential,8661,16888,3,traditional,low,Non-Furnished,luxury,8226,1757,1413,416,160,205,121,166267077
urban,residential,2112,9544,1,modern,low,Non-Furnished,standard,2006,1597,1170,555,132,279,198,22714435
suburban,commercial,2539,3564,4,traditional,medium,Non-Furnished,luxury,2412,1546,1414,564,90,169,167,27415575
rural,residential,3212,863,5,contemporary,low,Furnished,luxury,3050,1789,1347,347,156,199,181,17279252
metropolitan,commercial,4021,30554,28,traditional,medium,Furnished,standard,3808,1769,1359,582,60,239,145,218784189
metropolitan,residential,2704,28554,4,contemporary,high,Non-Furnished,standard,2568,1786,1211,332,110,198,138,88567323
rural,residential,10262,207,1,contemporary,medium,Furnished,luxury,9748,1569,1070,439,99,249,129,37144290
urban,commercial,4952,16387,13,modern,high,Furnished,basic,4693,1667,1118,507,79,181,153,138907963
suburban,commercial,11355,3285,29,modern,low,Non-Furnished,standard,10759,1502,1359,412,99,190,190,199766918
metropolitan,residential,2000,32381,4,contemporary,low,Non-Furnished,luxury,1900,1594,1036,458,167,288,193,66353661
suburban,residential,7124,2949,3,modern,medium,Furnished,luxury,6765,1670,1093,518,94,269,115,53383917
rural,commercial,2854,440,17,modern,medium,Non-Furnished,standard,2703,1518,1454,486,123,165,189,36201652
rural,commercial,5229,544,3,modern,low,Non-Furnished,basic,4965,1551,1287,554,83,220,130,24357195
suburban,residential,3579,2604,2,contemporary,medium,Furnished,luxury,3400,1600,1461,539,77,235,137,24769773
suburban,commercial,11320,3371,21,modern,medium,Non-Furnished,standard,10752,1675,1229,477,165,270,181,202080498
rural,commercial,9925,696,18,traditional,low,Furnished,basic,9414,1601,1090,517,131,179,132,110953782
urban,residential,7983,10423,4,contemporary,low,Non-Furnished,standard,7580,1629,1386,352,165,276,129,98053536
metropolitan,commercial,6742,45014,8,contemporary,high,Furnished,basic,6400,1604,1427,518,179,204,159,384730637
rural,residential,1879,817,1,contemporary,medium,Furnished,luxury,1785,1642,1243,455,96,236,197,8518794
suburban,residential,10083,3059,2,contemporary,high,Non-Furnished,basic,9578,1708,1076,476,69,158,142,62513973
metropolitan,commercial,8569,21550,5,contemporary,medium,Non-Furnished,luxury,8140,1680,1086,574,158,226,169,284398896
metropolitan,residential,7272,22731,5,traditional,high,Furnished,basic,6905,1724,1193,481,195,150,158,183324568
metropolitan,commercial,1573,40763,8,contemporary,high,Furnished,basic,1488,1537,1260,527,55,237,160,82033653
urban,commercial,8439,7077,7,contemporary,high,Non-Furnished,standard,8015,1621,1333,537,107,241,170,142391913
urban,commercial,7852,10428,19,contemporary,medium,Furnished,luxury,7448,1628,1365,432,71,228,150,204756004
urban,residential,7418,14519,4,traditional,medium,Furnished,standard,7044,1613,1420,368,112,244,122,128763303
suburban,residential,9892,2690,3,modern,medium,Non-Furnished,standard,9396,1783,1024,495,199,288,108,65274958
metropolitan,residential,10615,31522,2,traditional,high,Non-Furnished,basic,10084,1562,1125,563,151,187,180,337047331
urban,residential,3898,7800,2,contemporary,low,Furnished,standard,3702,1697,1281,316,72,184,129,36685085
rural,commercial,10021,933,8,traditional,high,Non-Furnished,standard,9512,1696,1483,565,198,181,196,106542775
suburban,commercial,9326,4552,13,modern,high,Furnished,luxury,8853,1618,1377,419,145,180,134,162225083
urban,commercial,11652,18591,23,contemporary,medium,Furnished,standard,11063,1738,1265,347,116,221,193,379264419
metropolitan,commercial,11547,37460,7,modern,high,Furnished,standard,10969,1558,1487,341,175,178,157,603185997
rural,residential,7550,852,5,modern,medium,Furnished,standard,7170,1519,1118,503,98,263,133,42508605
metropolitan,residential,5548,20990,5,contemporary,low,Non-Furnished,standard,5270,1594,1185,378,182,163,149,116365839
rural,residential,6501,974,5,traditional,high,Non-Furnished,luxury,6175,1548,1084,400,61,175,119,40430974
suburban,commercial,10986,1149,5,modern,high,Furnished,basic,10435,1706,1412,367,91,164,166,75489919
suburban,residential,8403,2411,2,traditional,low,Non-Furnished,basic,7982,1657,1418,437,131,181,176,40587633
rural,residential,10591,559,2,traditional,medium,Non-Furnished,luxury,10060,1600,1500,577,58,200,146,52252050
urban,commercial,7108,19977,4,traditional,high,Furnished,luxury,6752,1723,1041,314,55,293,139,230050594
metropolitan,commercial,11062,41950,26,contemporary,high,Furnished,luxury,10504,1790,1461,553,92,173,176,870855527
rural,residential,11994,602,3,traditional,low,Furnished,basic,11394,1723,1034,512,136,233,191,46364659
urban,commercial,8101,8591,6,traditional,low,Furnished,luxury,7692,1692,1422,522,165,230,123,132853603
rural,residential,9507,844,3,contemporary,low,Furnished,standard,9030,1561,1053,374,122,179,113,37425465
rural,residential,9429,340,4,modern,medium,Non-Furnished,standard,8956,1525,1144,358,173,263,176,40873939
urban,commercial,4017,5901,14,contemporary,high,Furnished,standard,3808,1663,1232,600,90,160,103,82646523
rural,residential,2431,459,1,contemporary,high,Non-Furnished,luxury,2309,1756,1267,556,195,229,126,11597512
metropolitan,residential,10282,31904,1,contemporary,medium,Non-Furnished,standard,9767,1752,1286,328,67,230,128,328557262
rural,residential,6758,285,3,contemporary,high,Furnished,basic,6420,1762,1227,536,153,152,191,31161652
suburban,residential,6092,4183,5,contemporary,high,Furnished,standard,5785,1656,1143,323,125,289,150,54054138
urban,commercial,9831,12856,8,modern,medium,Furnished,standard,9336,1528,1107,446,170,278,140,209523452
rural,residential,3216,643,5,modern,high,Furnished,luxury,3055,1592,1201,366,110,188,124,19344287
rural,commercial,9007,805,9,contemporary,high,Furnished,standard,8550,1559,1384,388,56,235,127,80488952
suburban,residential,4215,2238,3,traditional,low,Furnished,basic,4002,1747,1345,579,168,211,138,22607546
rural,residential,11643,884,5,traditional,high,Non-Furnished,luxury,11060,1647,1276,439,193,292,101,79909350
metropolitan,residential,4039,47308,5,modern,medium,Non-Furnished,basic,3835,1682,1282,434,180,252,127,172456830
rural,residential,6079,741,4,traditional,low,Non-Furnished,basic,5772,1637,1196,355,82,176,179,23018334
metropolitan,residential,9960,32591,4,contemporary,medium,Non-Furnished,standard,9460,1530,1086,475,131,274,122,335081826
suburban,commercial,4209,3035,11,contemporary,medium,Non-Furnished,basic,3993,1586,1194,530,67,235,196,48651132
metropolitan,commercial,10020,40714,28,modern,medium,Non-Furnished,luxury,9492,1641,1434,476,131,184,134,687175291
metropolitan,residential,9340,29849,4,modern,low,Furnished,standard,8872,1772,1430,448,136,186,183,265785549
suburban,residential,1448,3482,1,modern,low,Non-Furnished,standard,1375,1596,1080,437,147,211,155,8122425
suburban,residential,11019,2655,1,modern,low,Furnished,luxury,10468,1632,1311,354,79,252,170,62240512
urban,residential,3048,17223,2,modern,medium,Non-Furnished,standard,2894,1588,1370,306,119,162,118,57583791
suburban,residential,2689,3667,1,traditional,medium,Furnished,luxury,2554,1654,1412,401,195,253,183,20299032
urban,residential,11402,9482,5,modern,high,Furnished,luxury,10830,1654,1473,462,86,207,192,188340747
rural,commercial,2601,389,26,contemporary,high,Furnished,standard,2470,1549,1162,533,160,170,109,52191843
metropolitan,commercial,1760,34925,29,traditional,low,Furnished,luxury,1653,1537,1469,341,121,180,145,91035772
metropolitan,commercial,11116,37213,4,traditional,medium,Furnished,standard,10560,1718,1443,491,128,199,110,520737649
metropolitan,residential,7768,21523,4,modern,high,Non-Furnished,basic,7376,1759,1318,485,121,233,196,185553294
rural,residential,2684,469,5,modern,high,Non-Furnished,standard,2545,1545,1226,407,183,198,197,14811464
suburban,commercial,6152,2068,13,contemporary,medium,Furnished,standard,5837,1704,1024,451,127,160,180,72600045
rural,residential,1950,704,2,contemporary,low,Furnished,standard,1852,1547,1495,600,81,158,107,8033057
metropolitan,commercial,1867,49760,26,contemporary,high,Furnished,standard,1768,1617,1017,493,185,194,188,146837127
metropolitan,residential,1722,26294,5,traditional,medium,Furnished,standard,1635,1549,1077,410,86,188,184,48362540
rural,residential,10105,777,4,traditional,medium,Non-Furnished,standard,9596,1664,1295,402,150,216,175,51181157
rural,commercial,1482,884,6,traditional,high,Non-Furnished,standard,1404,1516,1017,397,114,252,103,10731760
urban,commercial,7718,19124,29,modern,medium,Furnished,standard,7308,1550,1234,534,147,252,131,314179435
rural,commercial,4250,645,18,contemporary,medium,Furnished,basic,4032,1612,1092,487,100,270,199,50968710
urban,residential,7692,7301,1,traditional,high,Non-Furnished,standard,7307,1753,1191,402,98,248,183,83629177
urban,commercial,10807,5016,14,modern,low,Non-Furnished,basic,10262,1629,1135,502,127,254,114,142357836
rural,residential,8280,202,1,contemporary,medium,Non-Furnished,standard,7866,1639,1288,301,116,225,187,28095530
rural,commercial,7665,362,18,modern,high,Furnished,standard,7272,1636,1067,408,79,246,106,96236144
urban,commercial,11857,16489,21,contemporary,high,Non-Furnished,basic,11256,1785,1170,355,187,204,132,346924821
suburban,commercial,10693,4873,5,traditional,low,Non-Furnished,luxury,10155,1689,1245,413,194,295,110,118651644
rural,commercial,5172,274,5,contemporary,high,Non-Furnished,luxury,4910,1738,1133,571,141,260,144,42868498
rural,commercial,3651,677,9,traditional,low,Furnished,standard,3465,1703,1380,504,152,254,117,30710061
suburban,residential,6760,2049,3,traditional,high,Non-Furnished,basic,6420,1678,1135,348,151,283,108,37504701
metropolitan,residential,6538,46773,5,modern,high,Non-Furnished,standard,6210,1523,1035,304,84,255,110,330575397
metropolitan,residential,11779,30273,3,modern,low,Furnished,luxury,11190,1779,1201,570,138,156,174,369537681
rural,commercial,8826,990,2,modern,low,Non-Furnished,basic,8384,1736,1461,365,138,298,115,41236630
metropolitan,residential,2084,22736,4,traditional,medium,Non-Furnished,standard,1976,1612,1199,474,196,187,135,51935781
suburban,residential,2672,2460,3,modern,low,Furnished,luxury,2538,1556,1421,454,61,194,175,16811548
urban,commercial,2012,6969,22,modern,high,Non-Furnished,standard,1892,1522,1046,328,114,244,196,40633159
urban,commercial,10904,15727,19,traditional,high,Non-Furnished,standard,10355,1637,1469,375,110,284,182,342906368
metropolitan,commercial,3045,49521,5,traditional,high,Non-Furnished,standard,2890,1527,1473,503,160,161,146,203376103
metropolitan,residential,7993,20970,3,modern,high,Furnished,basic,7593,1721,1214,410,129,150,121,180669793
metropolitan,residential,1242,41076,1,modern,low,Furnished,basic,1179,1671,1001,586,146,255,126,40467778
urban,commercial,8953,9907,20,contemporary,low,Furnished,luxury,8500,1520,1265,537,150,294,166,228129678
rural,commercial,6622,211,7,modern,medium,Non-Furnished,standard,6286,1769,1268,301,110,189,178,40403932
suburban,residential,9867,1141,3,modern,low,Non-Furnished,basic,9372,1583,1027,313,148,243,112,35891286
rural,commercial,7185,392,26,contemporary,high,Furnished,standard,6812,1616,1418,319,129,202,186,101406187
urban,residential,6892,19630,5,traditional,high,Furnished,luxury,6545,1787,1103,593,117,261,139,193366050
suburban,commercial,10744,2265,10,contemporary,high,Non-Furnished,standard,10200,1692,1458,539,171,297,190,142967259
urban,commercial,3157,17384,23,contemporary,medium,Non-Furnished,standard,2990,1747,1269,538,165,178,149,112605314
urban,residential,6530,9461,4,traditional,low,Non-Furnished,basic,6200,1512,1119,392,136,229,155,66366796
suburban,residential,7725,3646,4,contemporary,medium,Non-Furnished,standard,7336,1523,1381,314,158,243,133,56340480
rural,commercial,11757,782,14,traditional,low,Non-Furnished,luxury,11158,1749,1277,570,53,156,173,148388530
rural,commercial,1992,400,28,contemporary,high,Non-Furnished,standard,1876,1559,1397,453,80,285,197,37742019
rural,residential,3536,426,1,modern,medium,Non-Furnished,basic,3359,1530,1150,430,199,281,195,11518321
suburban,commercial,10768,2265,25,traditional,low,Non-Furnished,standard,10225,1636,1229,503,191,211,157,186099501
urban,residential,2857,19413,1,contemporary,low,Furnished,luxury,2714,1670,1266,587,86,220,161,59263442
urban,commercial,8072,15844,7,modern,low,Furnished,standard,7665,1639,1242,487,196,269,124,179565508
suburban,residential,2792,3101,4,traditional,low,Non-Furnished,standard,2652,1521,1192,547,148,277,127,18726671
rural,residential,9225,946,1,contemporary,low,Furnished,luxury,8763,1647,1409,380,129,267,200,39868049
suburban,commercial,8246,1614,24,traditional,high,Non-Furnished,luxury,7824,1553,1365,483,177,169,165,174139185
rural,residential,1975,501,1,modern,medium,Non-Furnished,basic,1876,1591,1066,575,179,212,163,6554528
rural,residential,6712,383,1,traditional,medium,Non-Furnished,basic,6376,1529,1450,430,64,296,142,22280857
suburban,commercial,1430,2821,25,modern,high,Non-Furnished,standard,1350,1571,1206,590,67,178,174,34195967
rural,residential,6379,960,4,modern,high,Non-Furnished,luxury,6060,1664,1274,319,176,285,101,38187309
suburban,residential,2967,2262,4,contemporary,high,Non-Furnished,basic,2816,1657,1308,337,158,225,135,18101065
suburban,commercial,6662,2694,5,contemporary,low,Non-Furnished,basic,6325,1750,1020,491,99,298,146,48497154
suburban,commercial,10557,3508,15,contemporary,low,Non-Furnished,standard,10020,1693,1354,405,168,156,117,131526663
suburban,commercial,9670,4549,30,modern,high,Furnished,luxury,9180,1624,1137,579,52,255,158,311270389
urban,residential,10366,19473,3,traditional,low,Furnished,basic,9846,1702,1327,380,71,156,112,179712270
metropolitan,commercial,4510,32553,16,modern,high,Furnished,basic,4272,1554,1212,577,111,218,172,218213755
suburban,residential,6052,3146,4,modern,high,Non-Furnished,luxury,5748,1597,1154,506,83,231,165,53621905
urban,residential,8968,11017,2,modern,medium,Furnished,luxury,8518,1677,1394,594,119,258,114,138202772
urban,residential,1965,5540,1,contemporary,medium,Non-Furnished,luxury,1866,1556,1161,542,181,177,191,17811909
metropolitan,residential,8960,25377,1,modern,medium,Non-Furnished,standard,8512,1616,1492,550,115,168,198,236348179
suburban,residential,4582,1273,2,modern,high,Furnished,standard,4352,1688,1259,513,128,154,101,24810421
metropolitan,commercial,8031,32060,11,modern,medium,Furnished,luxury,7623,1683,1237,359,79,244,128,379888512
rural,commercial,9502,372,19,modern,medium,Non-Furnished,standard,9025,1676,1270,415,59,157,166,115205275
suburban,commercial,4322,3199,27,modern,medium,Furnished,basic,4104,1557,1305,482,102,270,108,80266005
rural,residential,6272,633,5,modern,medium,Non-Furnished,luxury,5955,1717,1438,348,127,246,180,36048885
urban,commercial,11178,12381,16,traditional,high,Furnished,luxury,10608,1773,1410,500,132,185,116,348907471
urban,commercial,9396,18589,26,modern,low,Furnished,luxury,8918,1704,1016,520,61,235,113,352188401
suburban,commercial,4435,1823,6,traditional,high,Non-Furnished,basic,4212,1541,1209,336,51,155,200,32527850
urban,commercial,5521,12586,16,modern,medium,Furnished,basic,5232,1518,1311,313,191,296,199,113182205
metropolitan,commercial,4323,26684,28,modern,high,Non-Furnished,luxury,4088,1604,1275,307,109,236,170,218776538
suburban,commercial,2779,2716,6,modern,medium,Furnished,basic,2640,1501,1406,556,139,243,108,25227778
urban,residential,1432,12395,2,traditional,medium,Non-Furnished,basic,1360,1774,1236,571,149,206,186,19547017
suburban,commercial,9188,1043,21,modern,high,Furnished,basic,8715,1671,1400,440,130,193,116,131874081
rural,residential,4244,887,5,contemporary,medium,Non-Furnished,standard,4030,1634,1110,439,134,293,167,23456176
metropolitan,commercial,6584,24183,10,contemporary,medium,Furnished,standard,6250,1744,1447,424,88,158,108,228974069
urban,residential,5407,15413,2,traditional,low,Furnished,basic,5136,1623,1185,310,76,258,120,75575437
suburban,residential,2028,4598,1,modern,low,Non-Furnished,luxury,1926,1691,1056,451,131,263,187,14793359
urban,commercial,5043,8395,24,traditional,low,Non-Furnished,standard,4776,1797,1363,340,110,224,182,97876073
metropolitan,residential,2932,24356,5,modern,medium,Furnished,basic,2785,1666,1194,382,119,162,117,69590961
rural,commercial,2220,755,14,traditional,medium,Furnished,basic,2100,1725,1405,578,56,288,197,26171667
urban,commercial,11101,16474,10,contemporary,low,Furnished,basic,10540,1661,1275,412,55,247,121,233960989
rural,residential,3039,261,5,traditional,medium,Furnished,standard,2885,1721,1083,335,89,188,186,13751445
suburban,commercial,11095,3409,30,modern,low,Non-Furnished,basic,10530,1712,1002,561,79,226,106,220922562
rural,residential,1527,871,1,contemporary,high,Furnished,standard,1450,1564,1044,461,198,266,159,6736385
rural,commercial,10381,720,3,contemporary,low,Furnished,luxury,9861,1558,1191,359,104,174,120,54198485
rural,residential,1712,844,1,contemporary,low,Furnished,basic,1626,1687,1252,389,98,175,109,5517114
urban,commercial,7003,18940,19,traditional,low,Non-Furnished,standard,6650,1752,1035,460,196,189,163,210806214
metropolitan,residential,1678,28143,3,contemporary,medium,Non-Furnished,basic,1593,1545,1320,430,118,265,103,44239824
urban,commercial,6117,6592,14,contemporary,medium,Non-Furnished,luxury,5810,1792,1071,441,76,166,180,115288864
suburban,commercial,10261,4640,4,traditional,high,Non-Furnished,basic,9744,1651,1334,362,198,225,100,104437608
metropolitan,commercial,11511,28485,21,modern,medium,Furnished,standard,10920,1703,1151,307,194,228,189,480363081
urban,residential,10683,18527,2,contemporary,high,Furnished,basic,10148,1722,1483,330,142,286,121,216728575
suburban,residential,8048,1264,4,modern,low,Furnished,basic,7644,1638,1145,553,169,272,133,38712591
metropolitan,residential,7328,30685,1,contemporary,low,Furnished,basic,6961,1540,1301,451,170,235,196,183937621
metropolitan,residential,4296,39598,1,modern,low,Furnished,standard,4081,1598,1431,514,151,293,181,151655854
rural,commercial,10866,640,3,modern,high,Furnished,luxury,10320,1558,1444,537,198,276,142,82008229
suburban,commercial,8396,2788,2,contemporary,medium,Furnished,standard,7976,1653,1368,494,137,223,157,66047578
urban,residential,9507,13203,5,contemporary,low,Furnished,basic,9030,1770,1025,531,64,260,108,130780671
suburban,commercial,9888,2968,29,modern,high,Non-Furnished,luxury,9367,1578,1493,490,88,156,119,259037797
suburban,commercial,8529,3587,28,modern,high,Non-Furnished,basic,8092,1569,1186,436,134,160,117,168794924
metropolitan,commercial,10665,25499,23,contemporary,high,Non-Furnished,standard,10120,1794,1090,445,129,172,197,495798558
rural,residential,8533,553,3,traditional,low,Non-Furnished,basic,8106,1588,1237,600,84,253,166,33742724
rural,residential,9295,580,5,traditional,medium,Furnished,standard,8830,1769,1268,583,131,295,193,57339427
suburban,commercial,6162,4963,25,contemporary,high,Non-Furnished,luxury,5850,1769,1420,474,145,227,172,162039341
urban,residential,1225,13970,2,traditional,high,Furnished,basic,1162,1761,1196,575,152,251,130,20092102
suburban,residential,8938,2446,3,modern,medium,Non-Furnished,standard,8490,1577,1458,302,108,288,139,53877229
metropolitan,residential,3184,37321,1,traditional,low,Furnished,basic,3024,1509,1187,392,115,290,191,94880824
rural,residential,8386,823,2,contemporary,low,Furnished,standard,7966,1592,1264,593,141,213,169,35270794
metropolitan,commercial,2481,21841,12,contemporary,high,Non-Furnished,standard,2352,1506,1120,590,140,248,176,94794498
rural,commercial,10344,278,23,traditional,low,Non-Furnished,basic,9821,1585,1124,501,157,242,173,132104752
metropolitan,residential,7028,29940,4,contemporary,low,Furnished,basic,6676,1584,1452,338,92,197,109,177163612
metropolitan,commercial,1448,21275,27,traditional,medium,Furnished,standard,1350,1621,1451,322,175,266,191,52380458
urban,residential,4581,17262,1,traditional,medium,Furnished,basic,4351,1617,1031,455,121,179,174,76980246
rural,residential,9987,203,1,traditional,low,Furnished,basic,9487,1726,1076,365,119,214,123,26846389
urban,commercial,5970,8108,9,modern,low,Furnished,luxury,5670,1582,1381,545,132,230,129,104916920
rural,commercial,4348,446,24,contemporary,high,Non-Furnished,luxury,4128,1550,1237,558,51,292,110,93963413
metropolitan,commercial,5871,45575,24,modern,low,Furnished,basic,5568,1777,1418,317,94,212,187,294668003
urban,commercial,3704,18710,1,contemporary,medium,Furnished,luxury,3518,1628,1479,580,50,245,105,101376815
rural,residential,10496,716,1,contemporary,medium,Non-Furnished,basic,9971,1722,1380,505,198,176,137,39346327
urban,commercial,8358,15839,24,traditional,high,Furnished,luxury,7920,1545,1459,510,168,227,147,343064013
urban,commercial,4263,11663,14,contemporary,high,Furnished,standard,4046,1733,1396,465,143,182,195,110152787
suburban,residential,10411,2412,4,traditional,medium,Furnished,basic,9888,1545,1254,582,155,178,146,65820286
urban,commercial,10444,7238,17,traditional,high,Furnished,basic,9911,1546,1270,591,187,242,169,228669726
metropolitan,residential,4789,32270,1,traditional,high,Non-Furnished,basic,4549,1624,1334,356,61,245,131,152899456
metropolitan,residential,7848,27959,5,contemporary,high,Furnished,luxury,7455,1760,1275,474,67,257,126,287205718
suburban,residential,5809,2876,3,contemporary,low,Non-Furnished,standard,5517,1781,1422,502,76,217,181,36694048
urban,commercial,7406,18444,9,traditional,high,Furnished,basic,7029,1504,1448,339,133,173,111,198315964
suburban,commercial,5659,1963,30,modern,low,Non-Furnished,luxury,5370,1739,1466,374,165,199,125,99313310
rural,commercial,8953,685,10,contemporary,high,Furnished,standard,8500,1679,1490,326,179,189,140,79257299
metropolitan,residential,8916,22353,4,traditional,low,Non-Furnished,standard,8468,1723,1342,536,63,178,113,199589533
rural,residential,1521,418,4,modern,low,Furnished,basic,1444,1631,1477,305,131,186,197,5618414
rural,commercial,2211,666,19,contemporary,high,Non-Furnished,standard,2090,1512,1237,585,56,261,191,38127106
suburban,commercial,4914,2816,9,modern,low,Furnished,luxury,4662,1533,1215,321,136,195,109,46394657
metropolitan,commercial,2612,39169,28,traditional,medium,Furnished,luxury,2464,1676,1360,480,125,209,130,174554501
urban,commercial,8954,11469,4,contemporary,medium,Non-Furnished,luxury,8504,1691,1223,361,120,237,100,173804624
rural,commercial,2306,924,5,traditional,low,Furnished,standard,2190,1516,1226,458,191,293,188,14563549
metropolitan,residential,4188,21405,5,traditional,low,Furnished,basic,3975,1649,1453,430,55,287,117,82154225
urban,residential,4354,17153,5,contemporary,medium,Non-Furnished,luxury,4135,1792,1385,516,103,160,131,99117361
metropolitan,commercial,9637,26370,25,modern,low,Non-Furnished,basic,9150,1684,1071,583,160,271,182,372710770
metropolitan,residential,3226,36487,1,contemporary,medium,Non-Furnished,basic,3064,1589,1002,365,87,287,127,103922441
metropolitan,residential,2870,32964,4,contemporary,high,Non-Furnished,basic,2724,1526,1114,479,151,226,174,96689669
rural,commercial,6850,967,5,modern,low,Furnished,standard,6505,1647,1182,521,115,200,141,44732783
urban,commercial,11432,14308,11,modern,medium,Non-Furnished,basic,10857,1646,1064,592,135,245,189,267171243
suburban,commercial,11787,2459,24,traditional,medium,Furnished,basic,11184,1512,1456,447,194,236,200,188016842
metropolitan,residential,6279,45628,1,traditional,low,Furnished,luxury,5965,1502,1321,473,67,261,182,275905406
suburban,residential,3004,1710,4,contemporary,low,Non-Furnished,basic,2852,1760,1228,553,76,255,120,15493794
rural,commercial,9014,416,15,contemporary,high,Furnished,luxury,8550,1679,1272,464,137,275,107,124046937
urban,commercial,2473,9862,28,traditional,high,Furnished,luxury,2324,1669,1172,511,64,227,117,87068137
suburban,commercial,5781,2068,29,contemporary,low,Non-Furnished,standard,5481,1791,1366,593,173,244,131,125253780
metropolitan,commercial,7078,30802,26,traditional,low,Non-Furnished,basic,6708,1679,1002,339,57,243,189,265879057
rural,residential,11080,696,3,traditional,low,Furnished,standard,10524,1517,1026,409,51,194,141,41902506
metropolitan,residential,7160,34612,4,modern,high,Non-Furnished,basic,6800,1689,1081,594,130,189,101,254532610
rural,residential,10656,599,3,contemporary,high,Non-Furnished,luxury,10122,1565,1376,473,102,234,103,59849719
rural,residential,9676,635,3,contemporary,medium,Furnished,basic,9192,1645,1243,528,90,261,120,42423150
metropolitan,commercial,2733,32048,4,traditional,low,Furnished,basic,2596,1530,1284,469,126,157,107,89955860
rural,residential,11311,886,2,modern,high,Non-Furnished,basic,10744,1732,1003,358,123,213,200,47096364
metropolitan,residential,9235,49357,4,contemporary,high,Non-Furnished,luxury,8772,1583,1409,465,152,223,125,547505246
metropolitan,residential,1480,20602,2,contemporary,low,Non-Furnished,standard,1406,1651,1089,346,161,293,126,29266783
suburban,commercial,8397,4070,13,traditional,medium,Furnished,basic,7969,1590,1147,464,135,265,144,107980461
metropolitan,residential,4651,35523,3,contemporary,high,Furnished,standard,4416,1577,1318,462,110,236,162,184858325
suburban,residential,2732,3003,3,modern,high,Non-Furnished,standard,2595,1660,1063,568,187,180,116,20736189
rural,residential,2575,893,5,modern,low,Furnished,standard,2445,1643,1199,394,192,284,174,12818120
metropolitan,residential,5252,27639,5,contemporary,high,Furnished,standard,4985,1581,1002,586,138,184,104,173177941
rural,residential,1737,719,2,contemporary,medium,Furnished,standard,1650,1587,1352,411,67,263,111,7450714
suburban,commercial,5104,1077,2,modern,high,Non-Furnished,luxury,4848,1594,1278,547,175,259,187,36914996
metropolitan,residential,6668,37009,1,modern,high,Non-Furnished,basic,6334,1577,1475,307,110,261,174,241910017
suburban,residential,10137,1636,3,modern,high,Non-Furnished,basic,9630,1739,1211,505,70,277,162,57455021
metropolitan,commercial,5329,28756,25,modern,low,Furnished,basic,5050,1555,1472,476,178,250,157,206716660
rural,commercial,11804,594,22,contemporary,high,Non-Furnished,luxury,11198,1675,1216,435,187,172,109,202033177
metropolitan,residential,5617,24656,5,contemporary,high,Furnished,basic,5335,1791,1357,480,181,211,160,152668401
suburban,residential,6012,3084,2,modern,high,Furnished,standard,5710,1731,1289,543,112,238,104,44571433
suburban,residential,11859,1626,5,modern,high,Non-Furnished,luxury,11265,1700,1396,317,82,270,132,84360973
suburban,residential,8490,3689,5,modern,high,Furnished,standard,8065,1622,1335,581,64,181,185,81747890
metropolitan,commercial,2953,47448,9,contemporary,medium,Furnished,luxury,2799,1662,1172,542,178,233,134,197624984
urban,residential,10404,9945,2,modern,medium,Furnished,basic,9882,1549,1140,570,94,252,105,118379677
urban,commercial,11973,8763,13,traditional,high,Non-Furnished,basic,11362,1631,1305,416,55,292,131,223413753
suburban,residential,9693,4025,4,traditional,medium,Furnished,basic,9208,1790,1256,542,114,276,189,75446200
urban,residential,8544,10798,2,modern,low,Furnished,standard,8116,1733,1066,471,74,166,171,102364185
urban,residential,2430,18207,5,traditional,high,Non-Furnished,standard,2305,1714,1103,414,82,257,137,56038677
metropolitan,commercial,1813,28472,1,modern,low,Non-Furnished,luxury,1722,1610,1188,438,179,174,108,63146721
metropolitan,commercial,1968,27045,17,traditional,low,Non-Furnished,luxury,1853,1615,1005,331,129,227,188,75701052
suburban,commercial,5292,3126,22,contemporary,low,Non-Furnished,luxury,5016,1769,1310,453,166,187,143,91981782
rural,residential,6865,412,2,modern,high,Non-Furnished,standard,6520,1561,1275,573,173,189,197,32111343
metropolitan,residential,10471,30527,4,contemporary,high,Non-Furnished,basic,9944,1519,1447,591,176,201,107,336319204
urban,commercial,6608,15282,12,modern,high,Furnished,basic,6276,1601,1267,437,87,229,148,169230046
suburban,commercial,1626,4847,27,contemporary,low,Furnished,luxury,1539,1566,1379,536,177,213,171,38845615
suburban,commercial,2640,3616,8,traditional,low,Non-Furnished,luxury,2504,1738,1140,560,66,255,159,31768951
urban,residential,2607,17865,2,traditional,low,Non-Furnished,basic,2476,1609,1128,491,107,223,119,41475742
